institutionid,sectorperiodid,periodenddate,tcprimarysectorid,primarysectorname,tcsectorid,tcsectorname,di_324389_text,companyid,ticker,status,companytype,country,yearfounded,simpleindustry
100396,DDA9DE85-D614-4D80-8313-397E4C62C905,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 23 2022 10:39AM,316163,PRK,Operating,Public Company,United States,1908,Banks
100405,C88D2156-1112-4929-BEAC-004259FF542C,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,296863,CTBI,Operating,Public Company,United States,1903,Banks
100425,120CCFF5-6534-4737-9423-C0575868C525,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,302423,SBCF,Operating,Public Company,United States,1926,Banks
100431,3E73F922-D2EB-4D72-A927-CE42BE91C22D,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,303685,SFNC,Operating,Public Company,United States,1903,Banks
100444,E3C66560-780E-4250-AE7A-064862668BE7,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 22 2022  1:32PM,176404,SRCE,Operating,Public Company,United States,1863,Banks
100445,557B7901-927B-4F44-9EE0-88D424B4E76C,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,301262,STBA,Operating,Public Company,United States,1902,Banks
100461,E19696C1-E554-45D4-AD05-C079FE207BA5,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Jul 13 2022 11:50AM,308700,TMP,Operating,Public Company,United States,1836,Banks
100461,CFF0B929-46E9-4591-95BC-E544C66775F4,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Jul 13 2022 11:50AM,308700,TMP,Operating,Public Company,United States,1836,Banks
100461,F0CFC346-9BFE-4897-B10B-6954D3EEF8BE,20211231,52A000,Monetary authorities and depository credit intermediation,524100,Insurance carriers,Jul 13 2022 11:50AM,308700,TMP,Operating,Public Company,United States,1836,Banks
100464,64369565-92FD-463F-BD34-4B2C044382B6,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Jul 12 2022 12:31PM,309540,TRMK,Operating,Public Company,United States,1889,Banks
100464,A62C3240-819C-40F2-946F-EFC583E4C7B3,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Jul 12 2022 12:31PM,309540,TRMK,Operating,Public Company,United States,1889,Banks
100464,7A9EC435-2F50-4C2D-81BD-EE5DCB7854FD,20211231,52A000,Monetary authorities and depository credit intermediation,524100,Insurance carriers,Jul 12 2022 12:31PM,309540,TRMK,Operating,Public Company,United States,1889,Banks
100469,63E323A5-940A-4AE3-A0BA-C27CA07E8CDC,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,310025,UBSI,Operating,Public Company,United States,1982,Banks
100489,0D850016-5697-4414-AC95-51D02B0356A3,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Apr  7 2022 11:40AM,313855,WABC,Operating,Public Company,United States,1972,Banks
100491,5A6CF730-AC11-4860-AC0F-325CA2D3AB14,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 22 2022  9:31AM,312897,WASH,Operating,Public Company,United States,1800,Banks
100491,B38497A4-A123-49A3-8BD7-FCD96935E849,20211231,52A000,Monetary authorities and depository credit intermediation,525000,"Funds, trusts, and other financial vehicles",Mar 22 2022  9:31AM,312897,WASH,Operating,Public Company,United States,1800,Banks
100502,DA6C9C80-67F2-4E0A-8C35-B190265DBDFB,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 21 2022  9:52AM,343050,THFF,Operating,Public Company,United States,1834,Banks
100503,29BE5583-B5C4-4CC2-BD51-354E715E4B32,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,323780,FCF,Operating,Public Company,United States,1934,Banks
100525,98B31540-F5A3-4CCA-969B-9F4DA878191D,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Apr 12 2022 12:56PM,361890,FUNC,Operating,Public Company,United States,1900,Banks
100532,057516F1-555E-44C7-A340-A2D51E270FFE,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 23 2022 11:47AM,327660,PEBO,Operating,Public Company,United States,1902,Banks
100541,806E959F-BE82-4F4B-879A-A554ABBDEE6C,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Jul 19 2022 10:59AM,357223,RNST,Operating,Public Company,United States,1904,Banks
100541,F224CBEA-959B-4206-9233-170B4118017E,20211231,52A000,Monetary authorities and depository credit intermediation,524200,"Insurance agencies, brokerages, and related activities",Jul 19 2022 10:59AM,357223,RNST,Operating,Public Company,United States,1904,Banks
100541,FA705A1B-E0AF-47E9-B623-E57EC8741BAA,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Jul 19 2022 10:59AM,357223,RNST,Operating,Public Company,United States,1904,Banks
100546,AFD184A5-C1B3-47C3-A8DD-654F4F8AED07,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,334222,TCBK,Operating,Public Company,United States,1975,Banks
100548,145770CE-682E-4B09-B459-84BAB5BACCF5,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 22 2022  8:06AM,355245,SYBT,Operating,Public Company,United States,1904,Banks
100548,13C7F6C1-9D06-4EA0-9E46-FC6F1A3C11A6,20211231,52A000,Monetary authorities and depository credit intermediation,525000,"Funds, trusts, and other financial vehicles",Mar 22 2022  8:06AM,355245,SYBT,Operating,Public Company,United States,1904,Banks
100551,833924C9-C12F-4DBC-8772-B2CCEEA1CAD8,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Apr 19 2022 10:59AM,355637,GABC,Operating,Public Company,United States,1910,Banks
100551,7DAF6A4E-EB02-456D-BAFB-BB3DC8A236E9,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Apr 19 2022 10:59AM,355637,GABC,Operating,Public Company,United States,1910,Banks
100551,A2F4108E-A52E-4F87-8D1A-C29D4D385524,20211231,52A000,Monetary authorities and depository credit intermediation,524100,Insurance carriers,Apr 19 2022 10:59AM,355637,GABC,Operating,Public Company,United States,1910,Banks
100572,36F728BC-64D7-45FB-A725-19E19F4CE7DB,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,271375,FFIN,Operating,Public Company,United States,1890,Banks
100594,A26FB363-B833-4B35-85CC-BFFA7E4A7C54,20211231,522A00,Nondepository credit intermediation and related activities,522A00,Nondepository credit intermediation and related activities,Jul 28 2022  9:36AM,343936,ABCB,Operating,Public Company,United States,1971,Banks
100594,456BC3FA-4154-49ED-A4B7-37D7728BB2FE,20211231,522A00,Nondepository credit intermediation and related activities,52A000,Monetary authorities and depository credit intermediation,Jul 28 2022  9:36AM,343936,ABCB,Operating,Public Company,United States,1971,Banks
100603,BAFBAB2E-419F-4EB3-888B-5812F6C13507,20211231,52A000,Monetary authorities and depository credit intermediation,524100,Insurance carriers,Mar 15 2022  9:23AM,246951,ACNB,Operating,Public Company,United States,1857,Banks
100603,8A7FC425-A0BC-4DEB-891F-BE36A38D38AA,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 15 2022  9:23AM,246951,ACNB,Operating,Public Company,United States,1857,Banks
100608,A87CA3A5-C8E1-4622-BD2F-106F3B78E23F,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 22 2022  8:01PM,390846,LKFN,Operating,Public Company,United States,1872,Banks
100614,353E5E9B-7F48-4BA7-8DA8-268A212F1065,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Apr 11 2022  1:01PM,375038,MPB,Operating,Public Company,United States,1868,Banks
100625,7FA7E1AA-B40C-4E51-A9E5-70BA67EC9487,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 23 2022  5:50AM,338640,OSBC,Operating,Public Company,United States,1981,Banks
100626,FDA58FFB-E409-4B22-960C-47F094CDF44A,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Mar 23 2022  5:37AM,404359,AMNB,Operating,Public Company,United States,1909,Banks
100626,BB10CB89-A37A-42DD-919F-21CABB39C5AF,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 23 2022  5:37AM,404359,AMNB,Operating,Public Company,United States,1909,Banks
100631,88636488-67DD-49CA-B6D6-44EE790A1F85,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,3174385,ORRF,Operating,Public Company,United States,1919,Banks
100637,3FFF14EC-D83E-45F4-8AAF-F7A73B0577A3,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,375948,PWOD,Operating,Public Company,United States,1907,Banks
100651,3CAB88D2-06D1-4EDB-A704-ED6988A9381C,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Jul  7 2022  6:49AM,356061,SASR,Operating,Public Company,United States,1868,Banks
100651,5F75CF39-4204-40CA-99F5-2043C3C7DC7D,20211231,52A000,Monetary authorities and depository credit intermediation,524100,Insurance carriers,Jul  7 2022  6:49AM,356061,SASR,Operating,Public Company,United States,1868,Banks
100651,DAF336EA-BB47-4A79-88A6-B69896276889,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Jul  7 2022  6:49AM,356061,SASR,Operating,Public Company,United States,1868,Banks
100671,90ACC9A5-984E-487E-B774-D0D80E9EEC3A,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 23 2022  1:27PM,311084,UVSP,Operating,Public Company,United States,1876,Banks
100671,6DABA6DB-7B3D-4E04-AD5B-CC39E4A15327,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Mar 23 2022  1:27PM,311084,UVSP,Operating,Public Company,United States,1876,Banks
100671,75F096FF-99A3-44F6-974E-84CBA5EEEC17,20211231,52A000,Monetary authorities and depository credit intermediation,524100,Insurance carriers,Mar 23 2022  1:27PM,311084,UVSP,Operating,Public Company,United States,1876,Banks
100690,B70EE843-BA7A-484D-857E-9EF1DA6A713E,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 25 2022  7:38AM,3103644,CHMG,Operating,Public Company,United States,1833,Banks
100690,57DB2D8E-BD3D-4E58-AE3A-174F20EF1220,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Mar 25 2022  7:38AM,3103644,CHMG,Operating,Public Company,United States,1833,Banks
100693,2E8F4077-5BD5-44CC-9017-0287140D6EB6,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,392653,CZNC,Operating,Public Company,United States,1864,Banks
100716,63675AD5-C2CF-48DA-B9F0-83EB9C293978,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 25 2022  6:22AM,527085,FMNB,Operating,Public Company,United States,1887,Banks
100716,9EB7EE05-8756-4CA8-AF94-E39AFADDF75D,20211231,52A000,Monetary authorities and depository credit intermediation,525000,"Funds, trusts, and other financial vehicles",Mar 25 2022  6:22AM,527085,FMNB,Operating,Public Company,United States,1887,Banks
100736,AC245BB0-DCE4-4B34-AF46-5386043E247D,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,3110623,FRAF,Operating,Public Company,United States,1906,Banks
100750,5AB8036E-6AE0-41E9-BFF7-90D4277E5535,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 23 2022 12:51PM,386991,HBNC,Operating,Public Company,United States,1873,Banks
100754,714B13F1-6208-4ECB-AB61-D3594FAF0F59,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,343830,COLB,Operating,Public Company,United States,1993,Banks
100764,6DCA2E9C-3109-48F7-89AA-0A36BC38A0B1,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,3110164,FMBH,Operating,Public Company,United States,1865,Banks
100767,03D5E379-B6E4-434F-8180-142B61B4D493,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 23 2022  8:11AM,374421,CVLY,Operating,Public Company,United States,1864,Banks
100774,912A4F55-FDA5-4A08-BB85-7715C3607245,20211231,52A000,Monetary authorities and depository credit intermediation,525000,"Funds, trusts, and other financial vehicles",Mar 23 2022  7:21AM,361783,CCBG,Operating,Public Company,United States,1895,Banks
100774,DBD55B70-D9B5-4FB6-9F70-780F09E81355,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 23 2022  7:21AM,361783,CCBG,Operating,Public Company,United States,1895,Banks
100776,8AFB49DD-D0B1-41D8-902E-79657AE6FE81,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 23 2022  7:14AM,381942,CFFI,Operating,Public Company,United States,1927,Banks
100776,0F2E240F-FB9F-482C-B448-1B7D22773FFC,20211231,52A000,Monetary authorities and depository credit intermediation,522A00,Nondepository credit intermediation and related activities,Mar 23 2022  7:14AM,381942,CFFI,Operating,Public Company,United States,1927,Banks
100824,638A51B6-12EE-46CB-AD09-2780D23E8D7E,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 22 2022  1:35PM,365885,BHB,Operating,Public Company,United States,1887,Banks
100876,39F9AEF6-FFCA-45D6-9B0C-2AD5FD4E869D,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,1016805,CIVB,Operating,Public Company,United States,1884,Banks
100882,4D7117C9-2934-4DFB-9762-10F648BE8B31,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Apr 11 2022  1:23PM,384854,CBAN,Operating,Public Company,United States,1975,Banks
100885,889DA184-F3ED-4A87-9F77-A1E5FF2AB751,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 22 2022 12:39PM,1605273,EVBN,Operating,Public Company,United States,1920,Banks
100885,AC99E356-0E2B-4266-8024-0C5EF1DE5438,20211231,52A000,Monetary authorities and depository credit intermediation,524200,"Insurance agencies, brokerages, and related activities",Mar 22 2022 12:39PM,1605273,EVBN,Operating,Public Company,United States,1920,Banks
100886,2CF4D6BB-95D8-4302-9969-9BBCDE55B549,20211231,518200,"Data processing, hosting, and related services",518200,"Data processing, hosting, and related services",Jun 27 2022  3:26AM,369520,CASS,Operating,Public Company,United States,1906,IT Services
100886,AC317A72-80C1-42CC-98A4-AC8B046CCC0E,20211231,518200,"Data processing, hosting, and related services",52A000,Monetary authorities and depository credit intermediation,Jun 27 2022  3:26AM,369520,CASS,Operating,Public Company,United States,1906,IT Services
100895,1DC5B5C4-0DBC-404E-A80A-3E1C99B5B90A,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,412902,NKSH,Operating,Public Company,United States,1891,Banks
100964,61CC2905-89ED-4275-92EF-CAF768A99EF7,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Apr 11 2022  1:15PM,10654977,FMAO,Operating,Public Company,United States,1897,Banks
101021,24CFAE05-FB98-4C28-9A01-517151E554E9,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,813609,SBFG,Operating,Public Company,United States,1983,Banks
101149,D28E78E3-0EE3-4611-B4D7-77FB250D09D8,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Jul 19 2022  6:32AM,366107,CAC,Operating,Public Company,United States,1875,Banks
101233,A3AAE483-C78D-4C17-8061-958D4C4B352D,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,368683,UNTY,Operating,Public Company,United States,1991,Banks
101236,59DDE999-3F7C-40D8-AD40-2CDE9482C3A4,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,375163,IBOC,Operating,Public Company,United States,1966,Banks
101830,13D4B695-380D-4850-9EDF-D3C85C696A82,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,276191,GSBC,Operating,Public Company,United States,1923,Banks
101999,520FC720-12D4-4279-B94B-4C7883DBF39D,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Jul 18 2022  1:08PM,305387,WSFS,Operating,Public Company,United States,1832,Thrifts and Mortgage Finance
101999,554DD427-8ECE-4D4D-BB57-AF01A88FF09C,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Jul 18 2022  1:08PM,305387,WSFS,Operating,Public Company,United States,1832,Thrifts and Mortgage Finance
102284,93D614B2-6D2D-4D2B-8A4B-142F3D40C1F6,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,342146,PFC,Operating,Public Company,United States,1920,Banks
102398,ACF749EE-D97C-454A-8AA2-384E6CA6BA14,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,355315,FFIC,Operating,Public Company,United States,1929,Banks
102409,B80EE5D8-9063-4793-9163-66E954D6BB33,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,346301,LARK,Operating,Public Company,United States,1885,Banks
102420,93EED16D-E8D7-446D-9B7C-85C92A5CAAEC,20210630,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,349262,SMBC,Operating,Public Company,United States,1887,Thrifts and Mortgage Finance
102638,93500910-9CB7-48EC-ACF1-C381B0426D51,20210630,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Jul 15 2022 11:39AM,365183,PROV,Operating,Public Company,United States,1956,Thrifts and Mortgage Finance
102723,952029D2-DCEF-4515-BA9E-00A4DECB900E,20211231,523000,"Securities, commodity contracts, investments, and related activities",523000,"Securities, commodity contracts, investments, and related activities",Sep  9 2022 12:06PM,339646,VRTS,Operating,Public Investment Firm,United States,1988,Capital Markets
102752,5B3C9BA6-7DAF-4237-9203-9464603991C9,20211231,523000,"Securities, commodity contracts, investments, and related activities",523000,"Securities, commodity contracts, investments, and related activities",Mar 10 2022 12:08PM,270361,OPY,Operating,Public Company,United States,1881,Capital Markets
102767,B1697D92-9A4B-4659-9FFE-6E953ADDBFD6,20211231,523000,"Securities, commodity contracts, investments, and related activities",523000,"Securities, commodity contracts, investments, and related activities",Mar 10 2022 12:08PM,522608,PIPR,Operating,Public Company,United States,1895,Capital Markets
102852,26974E51-CCE6-499C-80B2-D87DACEF3693,20211231,522A00,Nondepository credit intermediation and related activities,522A00,Nondepository credit intermediation and related activities,Mar 21 2022  7:32AM,318561,CACC,Operating,Public Company,United States,1972,Consumer Finance
102876,7F27FA5D-F641-433B-B221-070C73C6FBD6,20211231,522A00,Nondepository credit intermediation and related activities,522A00,Nondepository credit intermediation and related activities,Jul  8 2022  7:55AM,324004,FCFS,Operating,Public Company,United States,1988,Consumer Finance
102886,75EF5E25-3AE5-4ECA-A69E-477670F2A3C4,20210331,522A00,Nondepository credit intermediation and related activities,522A00,Nondepository credit intermediation and related activities,Mar 10 2022 12:08PM,36697,WRLD,Operating,Public Company,United States,1962,Consumer Finance
102926,D44865C6-E8E4-4216-93CF-69021609B0E2,20211231,531000,Real estate,531000,Real estate,Mar 31 2022  8:03AM,253440,BRT,Operating,Public Investment Firm,United States,1972,Equity Real Estate Investment Trusts (REITs)
102947,E4CD207D-C60D-4008-A011-2930A7981DDB,20211231,531000,Real estate,531000,Real estate,Aug  9 2022  7:25AM,268472,EGP,Operating,Public Investment Firm,United States,1969,Equity Real Estate Investment Trusts (REITs)
102970,C3E7AC7B-FDC6-4345-AC9A-64420DE6EAAC,20211231,531000,Real estate,522A00,Nondepository credit intermediation and related activities,Jul  4 2022  5:51AM,326651,LTC,Operating,Public Investment Firm,United States,1992,Equity Real Estate Investment Trusts (REITs)
102970,89CA4739-859D-4885-9203-0A9DD64DCB42,20211231,531000,Real estate,531000,Real estate,Jul  4 2022  5:51AM,326651,LTC,Operating,Public Investment Firm,United States,1992,Equity Real Estate Investment Trusts (REITs)
102983,F7A9C62E-8754-464D-8C4C-6CC59ADC2D95,20211231,531000,Real estate,531000,Real estate,Mar 16 2022 12:30PM,320908,NHI,Operating,Public Investment Firm,United States,1991,Equity Real Estate Investment Trusts (REITs)
102983,6F4EA78A-BD19-41C6-AACB-65CA9A24F098,20211231,531000,Real estate,522A00,Nondepository credit intermediation and related activities,Mar 16 2022 12:30PM,320908,NHI,Operating,Public Investment Firm,United States,1991,Equity Real Estate Investment Trusts (REITs)
102988,FFB91BC1-9025-44FB-9C40-BD324D9C095C,20211231,531000,Real estate,531000,Real estate,Mar 11 2022  6:07PM,293779,OLP,Operating,Public Investment Firm,United States,1982,Equity Real Estate Investment Trusts (REITs)
103026,2D731E74-E457-4032-9146-C4E44C4EB171,20211231,531000,Real estate,531000,Real estate,Mar 31 2022  6:02AM,311316,UHT,Operating,Public Investment Firm,United States,1986,Equity Real Estate Investment Trusts (REITs)
103064,2A08805F-A3A5-437B-BE72-F2DB33924915,20211231,531000,Real estate,531000,Real estate,Mar 10 2022 12:08PM,275573,NNN,Operating,Public Investment Firm,United States,1984,Equity Real Estate Investment Trusts (REITs)
103118,C09329DC-FAED-4645-BC16-5D4C524F25F0,20211231,531000,Real estate,531000,Real estate,Sep 26 2022 12:28PM,339305,O,Operating,Public Investment Firm,United States,1969,Equity Real Estate Investment Trusts (REITs)
