ticker,sector,industry,employees,description
HOPE,Financial Services,Banks—Regional,"1,539","Hope Bancorp, Inc. operates as the bank holding company for Bank of Hope that provides banking services for small and medium-sized businesses, and individuals in the United States. The company accepts personal and business checking, money market, savings, time deposit, and individual retirement accounts. Its loan products include commercial loans to businesses for various purposes, such as working capital, purchasing inventory, debt refinancing, business acquisitions, and other business related financing needs; real estate loans; small business administration loans; and consumer loans, such as single-family mortgage, home equity, auto, credit card, and personal loans. The company also offers trade finance services, including the issuance and negotiation of letters of credit, as well as handles documentary collections; warehouse lines of credit to mortgage loan originators; and commercial equipment lease financing. In addition, it provides cash management services, such as remote deposit capture, lock box, and ACH origination services; investment and wealth management services; mobile banking services; debit card services; foreign exchanges services, safe deposit boxes, and other customary bank services; internet banking services; and automated teller machine services. As of December 31, 2021, the company operated 47 full-service branches in California, Washington, Texas, Illinois, New York, New Jersey, Virginia, and Alabama; SBA loan production offices in Atlanta, Houston, Dallas, Denver, Portland, Seattle, Fremont, and Southern California; and a representative office in Seoul, Korea. Hope Bancorp, Inc. was incorporated in 2000 and is headquartered in Los Angeles, California."
FWAV,Financial Services,Capital Markets,,"Fourth Wave Energy, Inc., through its subsidiary, EdgeMode, operates as a cryptocurrency mining and high-performance computing technology company. The company is headquartered in Chicago, Illinois."
ETNI,Financial Services,Shell Companies,,"Entest Group, Inc. does not have significant operations. It intends to seek business opportunities to review and analyze for purposes of effecting a merger, acquisition, or other business combination with an operating company business. The company was formerly known as Entest Biomedical, Inc. and changed its name to Entest Group, Inc. in February 2018. Entest Group, Inc. was founded in 2008 and is based in Shenzhen, China."
BDCO,Energy,Oil & Gas Refining & Marketing,,"Blue Dolphin Energy Company engages in the refining and marketing of petroleum products in the United States. The company operates in two segments, Refinery Operations; and Tolling and Terminaling. It produces finished products, including jet fuel, as well as various intermediate products, such as naphtha, heavy oil-based mud blendstock, and atmospheric gas oil; and conducts tolling and terminaling services for third parties at the Nixon facility. The company was incorporated in 1986 and is headquartered in Houston, Texas. Blue Dolphin Energy Company is a subsidiary of Lazarus Energy Holdings, LLC."
CSPI,Technology,Information Technology Services,112,"CSP Inc. develops and markets IT integration solutions, security products, managed IT services, purpose built network adapters, and cluster computer systems for commercial and defense customers worldwide. It operates in two segments, Technology Solutions and High Performance Products. The Technology Solutions segment provides third-party computer hardware and software as a value added reseller to various customers in Web and infrastructure hosting, education, telecommunications, healthcare services, distribution, financial and professional services, and manufacturing industries. This segment also offers professional IT consulting services, such as planning, designing, assessment, implementation, migration, optimization, and project management; storage and virtualization solutions; enterprise security intrusion prevention, network access control, and unified threat management services; and IT security compliance services. In addition, this segment provides unified communications, wireless, and routing and switching solutions; custom software applications and solutions development and support services; optimization, maintenance, and technical support services; and managed IT services, such as monitoring, reporting, and management of alerts for the resolution and preventive general IT, as well as IT security support tasks. Further, this segment offers managed and cloud services, such as proactive monitoring and remote management of IT infrastructure, managed and hosted unified communication services, security, and backup and replication. The High Performance Products segment offers ARIA Software-Defined Security, a cybersecurity solution; Myricom network adapters; and multicomputer products for digital signal processing applications in the defense markets. CSP Inc. was incorporated in 1968 and is headquartered in Lowell, Massachusetts."
OMQS,Technology,Software—Application,193,"OMNIQ Corp., together with its subsidiaries, provides artificial intelligence (AI)-based solutions in the United States. The company offers computer and machine vision image processing solutions using AI technology to deliver data collection, and real time surveillance and monitoring for supply chain management, homeland security, public safety, traffic and parking management, and access control applications. It also provides end-to-end solutions, such as hardware, software, communications, and lifecycle management services; packaged and configurable software; and mobile and wireless equipment. In addition, it manufactures and distributes barcode labels, tags, and ribbons, as well as RFID labels and tags. It serves Fortune 500 companies in various sectors, including healthcare, food and beverage, manufacturing, retail, distribution, transportation, and logistics; and oil, gas, and chemicals, as well as government agencies. OMNIQ Corp. has a partnership with Hyperion Partners LLC and wireless carriers to offer mobility solutions to customers on platforms that extend the market into new mobile applications. The company was formerly known as Quest Solution, Inc. and changed its name to OMNIQ Corp. in November 2019. OMNIQ Corp. was incorporated in 1973 and is based in Salt Lake City, Utah."
UNFI,Consumer Defensive,Food Distribution,"30,300","United Natural Foods, Inc., together with its subsidiaries, distributes natural, organic, specialty, produce, and conventional grocery and non-food products in the United States and Canada. It operates in two segments, Wholesale and Retail. The company offers grocery and general merchandise, produce, perishables and frozen foods, nutritional supplements and sports nutrition, bulk and foodservice products, and personal care items. It also provides nuts, dried fruit, seeds, trail mixes, granola, natural and organic snack items, and confections under the Woodstock Farms Manufacturing name; organic, non-GMO project verified, and specialty food and non-food items under the Blue Marble brand; pet food under the WILD HARVEST brand; and imported Greek feta cheese and organic ramen under the MT.VIKOS, KOYO, ASIAN GOURMET, MEDITERRANEAN ORGANIC, and NATURAL SEA brands, as well as various products under the TUMARO'S, ESSENTIAL EVERYDAY, SHOPPERS VALUE, Field Day, EQUALINE, CULINARY CIRCLE, ARCTIC SHORES SEAFOOD COMPANY, STONE RIDGE CREAMERY, and SUPER CHILL brands. In addition, the company provides home, health and beauty care, and pharmacy products, as well as private label products through a network of 73 Cub Foods and Shoppers retail grocery stores; and retail store support, pricing strategy, shelf and planogram management, advertising, couponing, ecommerce, consumer convenience, store design, equipment sourcing, electronic payments processing, network and data hosting, point-of-sale hardware and software, automation tools, sustainability, and administrative back-office solution services. Further, it offers consumer and trade marketing programs, and programs to support suppliers in understanding its markets. The company serves chains, independent retailers, and supernatural chains, as well as foodservice, ecommerce, conventional military business, and other sales customers. United Natural Foods, Inc. was founded in 1976 and is headquartered in Providence, Rhode Island."
MDLZ,Consumer Defensive,Confectioners,"79,000","Mondelez International, Inc., through its subsidiaries, manufactures, markets, and sells snack food and beverage products in the Latin America, North America, Asia, the Middle East, Africa, and Europe. It provides biscuits, including cookies, crackers, and salted snacks; chocolates; and gums and candies, as well as various cheese and grocery, and powdered beverage products. The company's snack brand portfolio includes Cadbury, Milka, and Toblerone chocolates; Oreo, belVita, and LU biscuits; Halls candies; Trident gums; and Tang powdered beverages. It serves supermarket chains, wholesalers, supercenters, club stores, mass merchandisers, distributors, convenience stores, gasoline stations, drug stores, value stores, and other retail food outlets through direct store delivery, company-owned and satellite warehouses, third party distributors, and other facilities, as well as through independent sales offices and agents, and e-commerce channels. The company was formerly known as Kraft Foods Inc. and changed its name to Mondelez International, Inc. in October 2012. Mondelez International, Inc. was incorporated in 2000 and is headquartered in Chicago, Illinois."
SKT,Real Estate,REIT—Retail,310,"Tanger Factory Outlet Centers, Inc. (NYSE: SKT) is a leading operator of open-air upscale outlet shopping centers that owns, or has an ownership interest in, a portfolio of 38 centers. Tanger's operating properties are located in 20 states and in Canada, totaling approximately 14.1 million square feet, leased to over 2,700 stores operated by more than 500 different brand name companies. The Company has more than 39 years of experience in the outlet industry and is a publicly-traded REIT. Tanger is furnishing a Form 8-K with the Securities and Exchange Commission (""SEC"") that includes a supplemental information package for the quarter ended September 30, 2020."
INTT,Technology,Semiconductor Equipment & Materials,303,"inTEST Corporation supplies test and process solutions for use in manufacturing and testing in automotive, defense/aerospace, industrial, life sciences, security, and semiconductor markets worldwide. The company operates through two segments, Thermal Products (Thermal) and Electromechanical Semiconductor Products (EMS). The Thermal segment offers ThermoStream products that are used in the semi market as a stand-alone temperature management tool, or in various electronic test applications; Thermal Chambers; Thermal Platforms; Thermonics temperature conditioning products that provide tempered gas or fluid; ultra-cold storage solutions, including biomedical freezers, refrigerators, and mobile storage solutions; EKOHEAT and EASYHEAT induction heating systems; and digital streaming and image capturing solutions. The EMS segment provides in2, Cobal, and LS series manipulators that hold various test heads and enable an operator to reposition a test head for alternate use with various probers or handlers on a test floor; and docking hardware products, which protect the interface contacts and ensure proper repeatable and precise alignment between the test head's interface board and the prober's probing assembly or the handler's test socket. This segment also offers tester interfaces that provide electrical connections between the tester and the wafer prober or integrated circuit (IC) handler; and scorpion flying probe test systems, which designs and manufactures robotics-based electronic test equipment, as well as provides application support services. Its products are used in production testing of wafers and specialized packaged ICs in back-end testing by semiconductor manufacturers. The company markets and sells its products to semiconductor manufacturers, third-party foundries, test and assembly providers, and original equipment manufacturers. inTEST Corporation was incorporated in 1981 and is headquartered in Mount Laurel, New Jersey."
ITRM,Healthcare,Biotechnology,13,"Iterum Therapeutics plc, a clinical-stage pharmaceutical company, engages in developing and commercializing anti-infectives in Ireland, Bermuda, and the United States. It is developing sulopenem, a novel anti-infective compound with oral and IV formulations that is in Phase III clinical trials for the treatment of uncomplicated urinary tract infections, complicated urinary tract infections, and complicated intra-abdominal infections. The company was incorporated in 2015 and is headquartered in Dublin, Ireland."
BRTX,Healthcare,Biotechnology,7,"BioRestorative Therapies, Inc., a life sciences company, focuses on the development of regenerative medicine products and therapies using cell and tissue protocols primarily involving adult stem cells. The company's two core developmental programs relate to the treatment of disc/spine disease and metabolic disorders. Its disc/spine program (brtxDisc) includes a lead cell therapy candidate, BRTX-100, a product candidate formulated from autologous cultured mesenchymal stem cells collected from the patient's bone marrow, which has completed Phase 1 clinical trials for use in the non-surgical treatment of painful lumbosacral disc disorders. The company is also developing Metabolic Program (ThermoStem), a cell-based therapy candidate that is in preclinical stage to target obesity and metabolic disorders using brown adipose derived stem cells to generate brown adipose tissue. In addition, it provides investigational curved needle device designed to deliver cells and/or other therapeutic products or material to the spine and discs. BioRestorative Therapies, Inc. has a research and development agreement with Rohto Pharmaceutical Co., Ltd.; a research agreement with Pfizer, Inc.; and a research collaboration agreement with the University of Pennsylvania. The company was formerly known as Stem Cell Assurance, Inc. and changed its name to BioRestorative Therapies, Inc. in August 2011. BioRestorative Therapies, Inc. was incorporated in 1997 and is based in Melville, New York."
TPC,Industrials,Engineering & Construction,"7,800","Tutor Perini Corporation, a construction company, provides diversified general contracting, construction management, and design-build services to private customers and public agencies worldwide. It operates through three segments: Civil, Building, and Specialty Contractors. The Civil segment engages in the public works construction and the replacement and reconstruction of infrastructure, construction and rehabilitation of highways, bridges, tunnels, mass-transit systems, military defense facilities, and water management and wastewater treatment facilities. This segment also provides drilling, foundation, and excavation support for shoring, bridges, piers, roads, and highway projects. The Building segment offers services in various specialized building markets, including hospitality and gaming, transportation, health care, commercial offices, government facilities, sports and entertainment, education, correctional facilities, biotech, pharmaceutical, and industrial and technology. The Specialty Contractors segment provides electrical, mechanical, plumbing, and fire protection systems, as well as heating, ventilation, and air conditioning services (HVAC) for the industrial, commercial, hospitality and gaming, and mass-transit end markets. It also offers general contracting, pre-construction planning, and project management services, including planning and scheduling of manpower, equipment, materials, and subcontractors; and self-performed construction services, such as site work, concrete forming and placement, steel erection, electrical, plumbing, HVAC, and mechanical. The company was formerly known as Perini Corporation and changed its name to Tutor Perini Corporation in May 2009. Tutor Perini Corporation was founded in 1894 and is headquartered in Sylmar, California."
ENR,Industrials,Electrical Equipment & Parts,"6,000","Energizer Holdings, Inc., together with its subsidiaries, manufactures, markets, and distributes household batteries, specialty batteries, and lighting products worldwide. It offers lithium, alkaline, carbon zinc, nickel metal hydride, zinc air, and silver oxide batteries under the Energizer and Eveready brands, as well as primary, rechargeable, specialty, and hearing aid batteries. The company also provides headlights, lanterns, and children's and area lights, as well as flash lights under the Energizer, Eveready, Rayovac, Hard Case, Dolphin, Varta, and WeatherReady brands. In addition, it licenses the Energizer and Eveready brands to companies developing consumer solutions in gaming, automotive batteries, portable power for critical devices, LED light bulbs, generators, power tools, household light bulbs, and other lighting products. Further, the company designs and markets automotive fragrance and appearance products, including protectants, wipes, tire and wheel care products, glass cleaners, leather care products, air fresheners, and washes to clean, shine, refresh, and protect interior and exterior automobile surfaces under the brand names of Armor All, Nu Finish, Refresh Your Car!, LEXOL, Eagle One, California Scents, Driven, and Bahama & Co; STP branded fuel and oil additives, functional fluids, and other performance chemical products; and do-it-yourself automotive air conditioning recharge products under the A/C PRO brand name, as well as other refrigerant and recharge kits, sealants, and accessories. It sells its products through direct sales force, distributors, and wholesalers; and through various retail and business-to-business channels, including mass merchandisers, club, electronics, food, home improvement, dollar store, auto, drug, hardware, e-commerce, convenience, sporting goods, hobby/craft, office, industrial, medical, and catalog. Energizer Holdings, Inc. was incorporated in 2015 and is headquartered in Saint Louis, Missouri."
AKR,Real Estate,REIT—Retail,123,"Acadia Realty Trust is an equity real estate investment trust focused on delivering long-term, profitable growth via its dual  Core Portfolio and Fund  operating platforms and its disciplined, location-driven investment strategy. Acadia Realty Trust is accomplishing this goal by building a best-in-class core real estate portfolio with meaningful concentrations of assets in the nation's most dynamic corridors; making profitable opportunistic and value-add investments through its series of discretionary, institutional funds; and maintaining a strong balance sheet."
AUPH,Healthcare,Biotechnology,300,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States and internationally. The company offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. The company is headquartered in Victoria, Canada."
AAME,Financial Services,Insurance—Life,138,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States. The company operates through American Southern and Bankers Fidelity segments. It offers property and casualty insurance products, including business automobile insurance coverage for state governments, local municipalities, and other motor pools and fleets; and inland marine and general liability insurance products. The company also provides surety bond coverage for subdivision construction, school bus contracts, as well as performance and payment bonds. In addition, the company provides individual and group whole life insurance, as well as medicare supplement insurance products; and other accident and health insurance coverages, include various individual and group policies for the payment of standard benefits for the treatment of diagnosed cancer and other critical illnesses, as well as various other policies, such as short-term nursing facility care, accident expense, hospital indemnity, and disability coverages. It markets its products through independent agents and brokers. The company was founded in 1937 and is headquartered in Atlanta, Georgia."
CLIR,Industrials,Pollution & Treatment Controls,14,"ClearSign Technologies Corporation designs and develops products and technologies to enhance operational performance, energy efficiency, emission reduction, safety, and overall cost-effectiveness of industrial and commercial systems in the United States and the People's Republic of China. Its ClearSign Core Burner Technology consists of an industrial burner body and a downstream porous ceramic structure or metal flame stabilizing device; ClearSign Core Plug & Play technology provides direct burner replacement for traditional refinery process heaters; and ClearSign Eye Flame Sensor, an electrical flame sensor for industrial applications. The company also provides ClearSign Core Boiler Burner; and ClearSign Core Flaring Burners technologies. It serves energy, institutional, commercial and industrial boiler, chemical, and petrochemical industries. The company was formerly known as ClearSign Combustion Corporation and changed its name ClearSign Technologies Corporation in November 2019. ClearSign Technologies Corporation was incorporated in 2008 and is headquartered in Tulsa, Oklahoma."
DXCM,Healthcare,Medical Devices,"6,300","DexCom, Inc., a medical device company, focuses on the design, development, and commercialization of continuous glucose monitoring (CGM) systems in the United States and internationally. The company provides its systems for use by people with diabetes, as well as for use by healthcare providers. Its products include DexCom G6, an integrated CGM system for diabetes management; Dexcom Real-Time API, which enables invited third-party developers to integrate real-time CGM data into their digital health applications and devices; Dexcom ONE, that is designed to replace finger stick blood glucose testing for diabetes treatment decisions; and Dexcom Share, a remote monitoring system. The company's products candidature comprises Dexcom G7, a next generation G7 CGM system. DexCom, Inc. has a collaboration and license agreement with Verily Life Sciences LLC and Verily Ireland Limited to develop blood-based or interstitial glucose monitoring products. The company markets its products directly to endocrinologists, physicians, and diabetes educators. DexCom, Inc. was incorporated in 1999 and is headquartered in San Diego, California."
POST,Consumer Defensive,Packaged Foods,"10,420","Post Holdings, Inc. operates as a consumer packaged goods holding company in the United States and internationally. It operates through four segments: Post Consumer Brands, Weetabix, Foodservice, and Refrigerated Retail. The Post Consumer Brands segment manufactures, markets, and sells branded and private label ready-to-eat (RTE) cereal, hot cereal, and peanut and nut butter. It serves grocery stores, mass merchandise customers, supercenters, club stores, natural/specialty stores, and drug store customers, as well as sells its products in the military, ecommerce, and foodservice channels. The Weetabix segment primarily markets and distributes branded and private label RTE cereal, hot cereals and other cereal-based food products, breakfast drinks, and muesli. This segment sells its products to grocery stores, discounters, wholesalers, and convenience stores, as well as through ecommerce. The Foodservice segment produces and distributes egg and potato products in the foodservice and food ingredient channels. It serves foodservice distributors and national restaurant chains. The Refrigerated Retail segment produces and distributes side dishes, eggs and egg products, sausages, cheese, and other dairy and refrigerated products for grocery stores and mass merchandise customers. Post Holdings, Inc. was founded in 1895 and is headquartered in Saint Louis, Missouri."
FZMD,Healthcare,Medical Devices,,"Fuse Medical, Inc. manufactures and distributes medical device implants in the United States. The company offers orthopedic implants, including internal and external fixation products for foot and ankle; upper and lower extremity plating and total joint reconstruction implants; soft tissue fixation and augmentation for sports medicine procedures; and full spinal implants for trauma, degenerative disc disease, and deformity indications. It also provides osteo-biologics and regenerative products, which include human allografts, tendons, synthetic skin and bone substitute materials, and regenerative tissues. The company serves hospitals, medical facilities, and sub-distributors. Fuse Medical, Inc. is based in Richardson, Texas."
HPQ,Technology,Computer Hardware,"51,000","HP Inc. provides personal computing and other access devices, imaging and printing products, and related technologies, solutions, and services in the United States and internationally. The company operates through three segments: Personal Systems, Printing, and Corporate Investments. The Personal Systems segment offers commercial and consumer desktop and notebook personal computers, workstations, thin clients, commercial mobility devices, retail point-of-sale systems, displays and peripherals, software, support, and services. The Printing segment provides consumer and commercial printer hardware, supplies, solutions, and services. The Corporate Investments segment is involved in the HP Labs and business incubation, and investment projects. It serves individual consumers, small- and medium-sized businesses, and large enterprises, including customers in the government, health, and education sectors. The company was formerly known as Hewlett-Packard Company and changed its name to HP Inc. in October 2015. HP Inc. was founded in 1939 and is headquartered in Palo Alto, California."
CRSR,Technology,Computer Hardware,"2,490","Corsair Gaming, Inc., together with its subsidiaries, designs, markets, and distributes gaming and streaming peripherals, components and systems in the Americas, Europe, the Middle East, and the Asia Pacific. The company offers gamer and creator peripherals, including gaming keyboards, mice, headsets, and controllers, as well as capture cards, stream decks, USB microphones, studio accessories, and EpocCam software. It also provides gaming components and systems comprising power supply units, cooling solutions, computer cases, and DRAM modules, as well as prebuilt and custom-built gaming PCs, and others; and PC gaming software comprising iCUE for gamers and Elgato's streaming suite for streamers and content creators. In addition, the company offers coaching and training, and other services. It sells its products through a network of distributors and retailers, including online retailers, as well as directly to consumers through its website. The company was incorporated in 1994 and is headquartered in Fremont, California. Corsair Gaming, Inc. is a subsidiary of Corsair Group (Cayman), LP."
AESE,Communication Services,Entertainment,88,"Allied Esports Entertainment Inc., a premier public esports and entertainment company, engages in the Allied Esports businesses worldwide. It operates esports properties to connect players and fans through a network of connected arenas; a flagship gaming arena located at the Luxor Hotel in Las Vegas, Nevada; a mobile esports truck that serves as a battleground and content generation hub; and a studio for recording and streaming gaming events. Allied Esports Entertainment Inc. was founded in 2018 and is based in Irvine, California."
RELT,Industrials,Engineering & Construction,4,"Reliant Holdings, Inc. designs and installs swimming pools in the United States. The company primarily constructs residential pools. It also focuses on constructing custom homes; and renewable energy through solar panels and other sustainable energy sources. Reliant Holdings, Inc. was incorporated in 2014 and is headquartered in Austin, Texas."
PFSW,Industrials,Specialty Business Services,"1,580","PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, Bulgaria, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCA, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as fashion apparel and accessories, fragrance and beauty products, health, luxury goods, cosmetics, footwear, consumer packaged goods, housewares, coins and collectibles, jewelry, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Allen, Texas."
TEL,Technology,Electronic Components,"85,000","TE Connectivity Ltd., together with its subsidiaries, manufactures and sells connectivity and sensor solutions in Europe, the Middle East, Africa, the AsiaPacific, and the Americas. The company operates through three segments: Transportation Solutions, Industrial Solutions, and Communications Solutions. The Transportation Solutions segment provides terminals and connector systems and components, sensors, relays, antennas, heat shrink tubing, and application tooling products for use in the automotive, commercial transportation, and sensor markets. The Industrial Solutions segment offers terminals and connector systems and components; and heat shrink tubing, interventional medical components, relays, and wires and cables for aerospace, defense, oil and gas, industrial equipment, medical, and energy markets. The Communications Solutions segment supplies electronic components, such as terminals and connector systems and components, relays, heat shrink tubing, and antennas for the data and devices, and appliances markets. TE Connectivity Ltd. sells its products to approximately 140 countries primarily through direct sales to manufacturers, as well as through third-party distributors. The company was formerly known as Tyco Electronics Ltd. and changed its name to TE Connectivity Ltd. in March 2011. TE Connectivity Ltd. was incorporated in 2000 and is based in Schaffhausen, Switzerland."
